SCHOOL NO.,ENGLISH CATEGORY,ùùù___ÑO,ENGLISH NAME,ùùù_°W‰_,ENGLISH ADDRESS,ùùù_°aÑ},LONGITUDE,îg∏_,LATITUDE,©n∏_,EASTING,Ñù¶æÌF,NORTHING,Ñù¶æ¢_,STUDENTS GENDER,_NèÌΩ_¢_ˆ∆ÑO,SESSION,Ω_˜_œì©í˜ê_–,DISTRICT,ù£_ù,FINANCE TYPE,î_ÑU‰ù__,SCHOOL LEVEL,Ω_˜___∏›,TELEPHONE,ëp_î_qî_,FAX NUMBER,___uî_©X,WEBSITE,‰_—_,RELIGION,ˆvœæ
511420000000,Aided Primary Schools,î_ÑUùpΩ_,CHAN SUI KI (LA SALLE) PRIMARY SCHOOL,Å_ú_îR(Å__F)ùpΩ_,22 SHEUNG SHING STREET HOMANTIN KOWLOON,ùE£s°´ù_¢æœ`çœ_´22î_,114-10-52,114-10-52,22-19-8,22-19-8,836708.7,836708.7,819974.3,819974.3,CO-ED,_kùk,WHOLE DAY,¢_ù_,KOWLOON CITY,ùE£s∏__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,27116278,27116278,27140854,27140854,http://www.cskps.edu.hk,http://www.cskps.edu.hk,CATHOLICISM,ùÛ¢Dœæ
115002000000,Aided Primary Schools,î_ÑUùpΩ_,CHRISTIAN ALLIANCE H C CHAN PRI SCH,—å__ùE£s___ú_œæùù_ù∏è_Dú|Å_ùîÅˇùpΩ_,CHUN SHEK ESTATE SHATIN NEW TERRITORIES,ús›ê_F¢æ_Å¢_?,114-11-14,114-11-14,22-22-18,22-22-18,837331,837331,825837,825837,CO-ED,_kùk,WHOLE DAY,¢_ù_,SHA TIN,_F¢æ_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,26998030,26998030,26031446,26031446,http://www.cahcc.edu.hk/,http://www.cahcc.edu.hk/,PROTESTANTISM / CHRISTIANITY,__ú_œæ
512850000000,Aided Primary Schools,î_ÑUùpΩ_,MARYMOUNT PRIMARY SCHOOL,‰óÑQ_íùpΩ_,"LG 1/F, G/F, 1/F, 2/F, 3/F & 4/F 336 TAI HANG ROAD WANCHAI HONG KONG",—å___W¢JùjÑ|_D336î_°a˜w1¶_–B°aùU–B1¶_–B2¶_–B3¶_ù_4¶_,114-11-26,114-11-26,22-15-47,22-15-47,837677,837677,813792,813792,GIRLS,ùk,WHOLE DAY,¢_ù_,WAN CHAI,_W¢J_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,25728728,25728728,25724131,25724131,http://www.mps.edu.hk,http://www.mps.edu.hk,CATHOLICISM,ùÛ¢Dœæ
112550000000,Aided Primary Schools,î_ÑUùpΩ_,HING TAK SCHOOL,óÅ¶wΩ_˜_,HING PING ROAD TUEN MUN NEW TERRITORIES,ús›êù_Ì_¶y¢—î_,113-58-54,113-58-54,22-24-40,22-24-40,816166,816166,830210,830210,CO-ED,_kùk,WHOLE DAY,¢_ù_,TUEN MUN,ù_Ì__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,24482211,24482211,24483098,24483098,http://www.hingtak.edu.hk,http://www.hingtak.edu.hk,NOT APPLICABLE,ù_ΩA¢_
112666000000,Aided Primary Schools,î_ÑUùpΩ_,TUNG TAK SCHOOL,Åq¶wΩ_˜_,"SHING MUN SAN TSUEN, KAM TIN YUEN LONG NEW TERRITORIES",ús›êùî˜ü£A¢æ∏_Ì_úsÑ_,114-3-58,114-3-58,22-26-29,22-26-29,824861,824861,833542,833542,CO-ED,_kùk,WHOLE DAY,¢_ù_,YUEN LONG,ùî˜ü_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,24761101,24761101,24747045,24747045,http://www.ttsch.edu.hk/,http://www.ttsch.edu.hk/,NOT APPLICABLE,ù_ΩA¢_
536547000000,Aided Primary Schools,î_ÑUùpΩ_,TUNG CHUNG CATHOLIC SCHOOL,ÌF_FùÛ¢DœæΩ_˜_,YAT TUNG (2) ESTATE 8 YAT TUNG STREET TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,ús›êùj£›ùsÌF_F_hÌF_´8î__hÌF(ùG)?,113-56-8,113-56-8,22-16-58,22-16-58,811392.9,811392.9,816021.8,816021.8,CO-ED,_kùk,WHOLE DAY,¢_ù_,ISLANDS,ì_˜q_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,21094962,21094962,21210166,21210166,http://www.tccs.edu.hk,http://www.tccs.edu.hk,CATHOLICISM,ùÛ¢Dœæ
540170000000,Aided Primary Schools,î_ÑUùpΩ_,STFA WU MIEN TUEN PRIMARY SCHOOL,__¶wëp©Öë`ú|¢___‰≠ùpΩ_,"PRIMARY SCHOOL IN AREA 110 PHASE 4 TIN SHUI WAI, YUEN LONG NEW TERRITORIES",ús›êùî˜üùÛù_Å_ç_4_ëç_110_ùùpΩ_,114-0-2,114-0-2,22-28-16,22-28-16,818135,818135,836855,836855,CO-ED,_kùk,WHOLE DAY,¢_ù_,YUEN LONG,ùî˜ü_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,31570630,31570630,31570629,31570629,http://www.stfawmtps.edu.hk/,http://www.stfawmtps.edu.hk/,NOT APPLICABLE,ù_ΩA¢_
115150000000,Aided Primary Schools,î_ÑUùpΩ_,TSUEN WAN TRADE ASSOCIATION PRI SCH,___W__ú|Ω_˜_,ESTATE PRIMARY SCHOOL NO 1 TSING YI ESTATE AREA 1 TSING YI ISLAND NEW TERRITORIES,ús›ê∏C°_˜q∏C°_?ù@_ùç_ù@∏_?ùpΩ_,114-6-10,114-6-10,22-21-14,22-21-14,828628.5,828628.5,823876.9,823876.9,CO-ED,_kùk,WHOLE DAY,¢_ù_,KWAI TSING,îÌ∏C_ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,24977911,24977911,24951133,24951133,http://www.twtaps.edu.hk,http://www.twtaps.edu.hk,NOT APPLICABLE,ù_ΩA¢_
115681000000,Aided Primary Schools,î_ÑUùpΩ_,LEE CHI TAT MEMORIAL SCHOOL,Ñ_Ñ__F›_ˆ£Ω_˜_,"30 TIN PING ROAD SHEK WU HUI, SHEUNG SHUI NEW TERRITORIES",ús›êùWù_¢___¶VùÛ¢—_D30î_,114-7-52,114-7-52,22-30-26,22-30-26,831559,831559,840835,840835,CO-ED,_kùk,WHOLE DAY,¢_ù_,NORTH,¢__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,26738581,26738581,26680223,26680223,http://www.lctms.edu.hk,http://www.lctms.edu.hk,NOT APPLICABLE,ù_ΩA¢_
114510000000,Aided Primary Schools,î_ÑUùpΩ_,PLK VICWOOD KT CHONG NO.2 PRIMARY SCHOOL,∏O_}Ñ©ç_?_{ç_ùGùpΩ_,TAI HING ESTATE TUEN MUN NEW TERRITORIES,ús›êù_Ì_ùjóÅ?,113-58-21,113-58-21,22-24-6,22-24-6,815210,815210,829168,829168,CO-ED,_kùk,WHOLE DAY,¢_ù_,TUEN MUN,ù_Ì__ù,AIDED,î_ÑU,PRIMARY,ùpΩ_,24621722,24621722,24627901,24627901,http://www.plkvktc2.edu.hk,http://www.plkvktc2.edu.hk,NOT APPLICABLE,ù_ΩA¢_
